,followers
1232,crlcheah
1233,mariesoh
1234,nicole4thepeople
1235,k.m.i_gemstone
1236,cynthia_meiqi
1237,xshinlala
1238,chew_melissa
1239,jolinelzh
1240,geraldenneee
1241,hazellyt
1242,limplp
1243,charles_easyparcel
1244,valerie.sim
1245,jjjadetjy
1246,simpmaster420
1247,mche09
1248,mind_spirit_guide
1249,hi_im_riko
1250,lsyyingg
1251,kkekkekkek
1252,hi.soaps.bye.money
1253,winteress
1254,yemama18
1255,suspensionsyndrome
1256,jgoh0918
1257,rockstar.bao
1258,engyeeeee
1259,glimmeryyuki
1260,leehongw
1261,eliz.anzel
1262,lesyeuxdepearl
1263,crystopia821
1264,snoobfish
1265,ajoey21
1266,iamslpngyt
1267,annsaurous
1268,em_me08
1269,tricia__yang
1270,simplyjustrandom
1271,cannibalilies
1272,logeswari_annamalay
1273,jocelynwsc
1274,celia1976pay
1275,marieloh1111
1276,xinhui_queenie
1277,misfaiza_abd
1278,brendagyj96
1279,angangangsty
1280,s0pugly
1281,olie_8
1282,tinybrinaaa
1283,bookylookie
1284,moosincrafts
1285,mseel_
1286,ahbluehaha
1287,sabspaghetti
1288,mzcrystal_cathy
1289,dorauponstar
1290,ce11hm
1291,vivalehermes
1292,kirinkirinz
1293,jas.kcy
1294,k00l.g3mz
1295,pei_ing21
1296,a_meliae
1297,scarletvivienne
1298,_yycrystal_
1299,anqiishuman
1300,polished_stones
1301,daintydust
1302,keto.dive.mermaid
1303,_juanjuann
1304,dollyloo
1305,jonelleheng
1306,kellylyhere
1307,chidaopangpang
1308,adres.tiaa
1309,airielle.hu
1310,jovyn_c
1311,chuyunfaith
1312,yvnkan
1313,xo_.yr._xo
1314,___jasmineeeee___
1315,plantitane
1316,alwaysxaly
1317,itstthaw
1318,gnoyllas
1319,omy.zaza
1320,abigail_tan_
1321,jess_zheng1988
1322,zacharias_f
1323,itsmonalissa
1324,gaiacreation
1325,xpriyaaaaax
1326,violetirislove
1327,_xxgirlgamerxx_
1328,wisteria.petal
1329,gemmieleee
1330,dama923
1331,beautysunnyshine
1332,crystals_wholesaler
1333,kell.ling
1334,yukansha_shortbob.sg
1335,ccharmainechong
1336,natural.jawelry
1337,eileen_tyl93
1338,elysialim
1339,iamstoned.sg
1340,iyashinokessho
1341,hunting.stones
1342,dionnelau
1343,ms_jpace
1344,honeyseedco
1345,agatesundastonecrystal
1346,yiting11
1347,lyneyvonney
1348,ding0901
1349,kosalakumar
1350,tiarabchen
1351,yoonkhee_macaroni
1352,annabel0_0
1353,mandyyy_._mandyyy
1354,capsntrend
1355,stevenjrlee
1356,xantheeee_y
1357,leepeixia
1358,teddyw0nn
1359,jinglezz
1360,abigailfaithlovespurple
1361,yyladycat
1362,j.ccrystals
1363,atelier_.co
1364,biyungrace
1365,lyn_onyl
1366,nia_teo
1367,esteryn
1368,dynotsothin
1369,hatchysan
1370,missyleow
1371,rhjanis
1372,wendyism.thecrystaladdict
1373,anna_bellll
1374,jaggyyoyo
1375,theluckyred
1376,cielcrystals
1377,fusionculturalinc
1378,salondolce
1379,kyukyusia
1380,cheesetinlye
1381,ohshuwen
1382,noobcoob
1383,evetanisme
1384,carmellaisabelle
1385,soonpaoseng
1386,hajarjumain
1387,atzgems
1388,lingai_
1389,adelewyd
1390,h_jiexin
1391,chrysalis_gemstones
1392,silverbluestars
1393,serein_uwu
1394,magiccrystals2020
1395,hala.kamel.75873
1396,jas_lyn33
1397,_xgrace
1398,min.cheah
1399,shimmery_wl
1400,idalee8190
1401,agd.crafts
1402,nereabee_
1403,joeytls
1404,yi_steph
1405,luna.lush.crystal
1406,ktluvlt
